text,label
sinead o'connor is 'safe and sound' after emotional facebook post about overdose,0
"employee returns from vacation refreshed, ready to waste time",1
completely out-of-control cell phone nearly vibrates itself off table,1
opening band issues two-more-songs warning,1
"tony the tiger, toucan sam and other kellogg's mascots 'speak out' against bullying",0
frank gehry no longer allowed to make sandwiches for grandkids,1
michael bloomberg's 2016 ambitions may shake up the race -- and his media company,0
why is it called a 'cesarean section' anyway?,0
16 quick highlights from j.j. abrams and chris rock's tribeca film festival talk,0
chief justice john roberts eulogizes antonin scalia as 'our man for all seasons',0
world cup vs. planet earth,0
"if you can't keep your new year's resolutions, be kind to yourself",0
gawker's season of fear and loathing,0
"paul ryan reverses course, accepts house chaplain rescinding resignation",0
political blogger mass suicide to be discovered in several weeks,1
"with kids, little things are magic",0
historical archives: john jameson's miracle concoction,1
nobel prize winners demand better health care for victims of sexual violence in colombia,0
how to get a bikini body without buying a bikini body plan,0
"news roundup for july 12, 2017",0
fox news host: trump fulfilled biblical prophecy by moving u.s. embassy to jerusalem,0
road rage video shows driver crushing veteran's motorcycle with his car,0
the atheist and the nun,0
donald trump effigies burn across mexico in easter ritual,0
modern day activists call it 'historic trauma',0
triple bombings in baghdad kill 72 in worst violence so far this year,0
bald man just going to have to accept entire head will turn bright red from time to time,1
couple always like this,1
the incredible places in the world we would rather be today,0
these religions were born in the u.s.a.,0
"el salvador zoo hippo died from poor care, not beating, prosecutors say",0
hillary clinton makes her final pitch of the election in north carolina,0
cnn to get all information from in-house channel 'cnn-cnn',1
plant dead because of you,1
walk the moon to perform 'shut up and dance' on the vmas red carpet,0
self-defense instructor simulates attacker right down to erection,1
woman takes break from dating to focus on everything about herself no one could ever love,1
lawmaker running for jeff sessions' old seat is obsessed with 'war on whites',0
another trumpian senate contender links obama to orlando shooting,0
trump honors sacrifices civil rights activists will have to make under his presidency,1
report: more american fifth-graders taking gap year to unwind before middle school,1
boss thinks female employee might be ready to handle job she's been doing for past 2 years,1
man excited to spend weekend back home catching up with old video games from high school,1
court takes custody of harley from unfit motorcycle mama,1
usda secretary rings nationwide dinner bell for y'all to get in here,1
the real mothers of mother's day,0
area man committed to being spicy food guy,1
bush determined to find warehouse where ark of covenant is stored,1
rush limbaugh tucks shirt back in following animated flat tax rant,1
woman goes on rant over veteran's service dog in restaurant,0
the one thing you probably didn't know about genetic inheritance,0
new low stooped to,1
leaked footage reveals grisly scene where detective pikachu examines jigglypuff's corpse at morgue,1
illinois' wall of fame: the state's best designations,0
partygoer vows to fix keg,1
republicans wage last-minute campaign to undermine net neutrality rules,0
franz ferdinand frontman shot by gavrilo princip bassist,1
civilian casualty flattered to have been mistaken for hamas leader,1
airbnb host decides handwritten note necessary to protect cocktail sauce in fridge,1
defending journalism in the age of trump,0
making the road in new york: a model for work-family policy change,0
is ukraine fascist?,0
gop leaders move goalposts on opposing trump to him being filmed masturbating on u.s. flag in arlington cemetery,1
"government-publications enthusiast makes pilgrimage to pueblo, co",1
the thing about horses,0
here's the 'hocus pocus' remake you never knew you wanted,0
this is what divorce at 41 is really like,0
'sister act' remake proves hollywood needs to stop,0
"why skipping vaccines is a public, not personal, health choice",0
21st century black giving:  10 high impact principles for a new year,0
sacha baron cohen rolls up to 'grimsby' premiere in his underwear,0
'anchor babies' and the gop's manifest destiny politics,0
slightest amount of physical contact apologized for,1
donald trump won't stop talking about how 'healthy' he is,0
new beatles box set features 172 unreleased songs about wanting to hold hands,1
report: getting parents off back now accounts for 38% of economic growth,1
what happened to america's first muslims?,0
4 high-level languages for front-end developers,0
"yes, ashanti is still here and ready for you to 'say less'",0
what's it like being blind and gay? (video),0
nypd lets suspicious man go after only finding 'catcher in the rye' in backpack,1
orange workout gear that'll legitimately up your gym game,0
u.s. delegation visits myanmar to invest in community-based businesses,0
"mad men: ""the forecast"" is mixed",0
freezing woman dining outside desperately clutching cloth napkin for warmth,1
local tcby has missed past 2 logo changes,1
historical archives: one may now toil from home,1
airport only place in metro area to buy city's signature food,1
year of law school now mandatory for nation's 25-year-olds,1
maid of honor specifically selected for ability to take emotional beating,1
jon stewart and 9/11 responders walk the halls of congress,0
"bed bug feels bad for area man, but a bug's got to eat",1
the army tells its soldiers to get some sleep,0
white nationalists have been saying 'diversity is not our strength' for years,0
warden figures week in solitary ought to teach inmate not to be schizophrenic,1
coroner's report: john denver had sunshine on shoulders at time of crash,1
"on the steps of the supreme court, too happy to hate",0
"cheney returns to u.s. with full head of thick, wavy hair",1
cover author working on word-for-word remake of 'moby-dick',1
new report shows many u.s. businesses actually just fronts for moneymaking operations,1
'95-'96 prayers finally answered,1
"federal judges can't clear someone's record, even for minor, nonviolent offenses",0
people are lol-ing over this couple's blunt pregnancy announcement,0
dozens of panicked mar-a-lago guests crowd front desk to check out after fbi agents spotted at hotel,1
baby boring,1
"wow, dad really went from zero to 60 with woodworking this summer",1
pope francis on vatican abuse scandal: 'just tell me whose feet to wash',1
talking to our kids: the conversation we should be having,0
"'the defiant ones': how dr. dre and jimmy iovine made a lot of music and, yeah, money",0
brexit crisis tops off rough stretch in obama's push for legacy,0
mindful parenting: how to respond instead of react,0
aerobics linked to lousy music,1
how to make pumpkin treats for your dog,0
raid introduces new lilliputian repellant spray,1
destiny's child referred to as 'feminist icons' with straight face,1
parents respond to article that celebrates dads for one day of parenting,0
"45-year-old man self-conscious, embarrassed by new, unexpected changes his body going through",1
ornithologist forced to participate in history channel's 'what if humans suddenly became birds?' program,1
billionaire reading name in panama papers totally forgot he even had funds in seychelles,1
"sxsw as cool and as real as it gets, reports marketing associate",1
want to increase trust? increase your say/do ratio!,0
ann coulter says 'every woman who has ever been employed by fox' has stories about roger ailes,0
judge tosses suit accusing trump business dealings of violating constitution,0
nationwide sympathy pours in for traumatized cnn town hall survivor,1
the bible has no place in modern american society: sobering lessons from donald trump and kim burrell,0
innocent man unrepentant,1
cia interrogator apologizes profusely after asking question about touchy subject,1
psychic fall cometh!,0
lingerie-wearing boehner: 'we still have a very pretty speaker of the house',1
why bernie sanders is in deep trouble in south carolina,0
"i want you, gentle reader, to lighten up!",0
world's marine life on edge now that seaworld moving on from orcas,1
i'm a nightmare ex-girlfriend — and i'm cool with that,0
mayan calendar warns of cataclysmic roland emmerich film on nov. 13,1
chiquita introduces easy-grip banana,1
anti-abortion leader emerges as white nationalist,0
"connection, mission, game: your best friends",0
elderly woman begins freezing meals husband can eat while she's passed away,1
a new lena dunham show is coming to hbo,0
donald trump renominates environmental pick democrats called 'extreme' and 'embarrassing',0
departing obama tearfully shoos away loyal drone following him out of white house,1
new report finds americans most interested in science when moon looks different than usual,1
nascar bed bursts into flames,1
senior citizens discuss merits of county-clerk candidates,1
kesha thanks fans 'a million times over' in first public statement,0
pre-holiday jerry brown preps for term 4,0
explosion used to signify big savings,1
sla murder trial nostalgic trip back to more innocent time,1
christian bale given neutered male statuette named oscar,1
obama slips 'hope' into speech for the fans,1
new taliban chief calls for unity amid leadership struggle,0
"area man busts his ass all day, and for what?",1
friday talking points -- it's raining shoes!,0
this note left in robert griffin iii's locker sure seems like a clue to his future,0
michelle obama can still hear their little labored breaths when she closes her eyes,1
"donald trump supports using federal funds to fix states' bridges and roads, elaine chao says",0
middle east crisis traced to trouble-making genie,1
how these mayors rise above the stress of their demanding jobs,0
department of transportation allocates $400 million for national shortcut,1
'tis the season to be cheeky with 'jingle butts' music video,0
area ostrich lashes out against unnecessarily restrictive zoning laws,1
slight inconvenience avoided,1
hey nc! check out the awesome move nyc just made for trans people,0
rachel maddow stands by her trump tax reporting,0
disgusting couple always interacting in public,1
new iphone application tracks progress of deceased loved ones' decomposition,1
jetblue is offering $49 flights in a 2-day flash sale,0
politicians ignoring the dangers of jowl implants,1
there is no plan b either in yemen or in syria,0
personal assistant called after scary dream,1
republicans freak out at learning reagan decree protects lois lerner,0
attractive woman surprised to learn coworker a dick,1
sonoma sheriff battles with ice over misinformation on california wildfires,0
old faithful brutally beaten to death by group of teens,1
world's jews celebrate christmas with ceremonial re-murdering of christ,1
fish species not seen since 1960s thinks it can waltz back into marine biologist's life just like that,1
gop rep's office got a student suspended for cursing while asking for gun control,0
entire meal prep for week eaten by tuesday,1
kid who hugged cop in viral protest photo feared dead in family car plunge,0
"if hb 4 passes, hawaii will have the weakest sick leave policy in the nation.",0
"maxwell brings viral cashier on stage to sing with him, and he nails it",0
breaking: no news breaking,1
old lady at parade flapping little american flag like a motherfucker,1
facebook algorithm mortified it has to deliver up so much embarrassing news about own company,1
area man thanked for playing,1
kate middleton feels royal baby kicking during queen's coronation anniversary,1
"'no one will push you into running for president,' jeb bush softly whispers before tucking in sleeping grandson",1
sleepy baby elephant picks one awful napping spot,0
our stylish new year's resolutions,0
"denée benton, aka ruby on 'unreal,' is headed to broadway",0
"grey's anatomy, what are you trying to tell us about working mothers?",0
depressed matt lauer up all night rewatching 8-second clip of career highlights,1
nation suddenly feels old after seeing nick-at-nite lineup,1
jaws of death used to stuff woman into burning car,1
dnc criticized for overly restrictive debate rules requiring candidates have at least one policy position,1
kentucky newspapers endorse alison lundergan grimes,0
new study finds earth's core will be most habitable part of planet by 2060,1
how social issues hijacked conservatism,0
the problem with calling women 'females',0
california marijuana businesses get their first commercial insurer,0
a multi-ethnic easter,0
'boating world magazine' giving live updates as its team of reporters reads all of mueller report,1
"manson's loved ones ask for complete, utter chaos in their time of grief",1
how i became that middle-aged woman who uses baby talk with her dogs,0
female friend group fails in one duty of providing good gynecologist recommendation,1
every baby boomer in country urged to resign after photos emerge of them in blackface,1
antonio french: darren wilson seemed 'remorseless' over michael brown killing,0
refugee blues,0
a millennial perspective on concur's new app center,0
rand paul warns donald trump not to choose 'menace' john bolton as secretary of state,0
study: uneducated outbreeding intelligentsia 2-to-1,1
jenna jameson calls on women to #dropthecover and celebrates motherhood,0
"in the 'bad moms christmas' trailer, the bad moms' moms are crashing the party",0
why you should use conditioner before getting in the shower,0
presence of three round objects triggers juggling reflex in local man,1
the peshawar tragedy shows that pakistan needs a new religious narrative,0
ted cruz applauds iowa couple who refused to host a same-sex wedding,0
angelina jolie stuns in first rollerblading competition since double mastectomy,1
michelle obama not so keen on president's new bangs,1
botanists making great strides in stem research,1
elon musk unveils new clean energy luxury car pulled by 8 tesla employees,1
